ITEM CATEGORY,ITEM NAME,AMT,LOCATION,NOTES
TOOLS,"Combination Wrench, 1/4""",2,C3-I; Tool Display Pegboard,
TOOLS,"Combination Wrench, 3/8""",1,C3-I; Tool Display Pegboard,
TOOLS,"Combination Wrench, 7/16""",1,C3-I; Tool Display Pegboard,
TOOLS,"Combination Wrench, 1/2""",1,C3-I; Tool Display Pegboard,
TOOLS,"Combination Wrench, 9/16""",3,C3-I; Tool Display Pegboard,
TOOLS,"Combination Wrench, 5/8""",1,C3-I; Tool Display Pegboard,
TOOLS,"Combination Wrench, 11/16""",2,C3-I; Tool Display Pegboard,
TOOLS,"Combination Wrench, 3/4""",1,C3-I; Tool Display Pegboard,
TOOLS,"Combination Wrench, 13/16""",0,C3-I; Tool Display Pegboard,
TOOLS,"Combination Wrench, 7/8""",1,C3-I; Tool Display Pegboard,
TOOLS,"Combination Wrench, 15/16""",2,C3-I; Tool Display Pegboard,
TOOLS,"Combination Wrench, 1""",0,C3-I; Tool Display Pegboard,
TOOLS,"Combination Wrench, 1-1/16""",1,C3-I; Tool Display Pegboard,
TOOLS,"Combination Wrench, 1-1/8""",0,C3-I; Tool Display Pegboard,
TOOLS,"24"" Square",1,C3-I; Tool Display Pegboard,
TOOLS,"6"" Square",1,C3-I; Tool Display Pegboard,
,Washers,,"C3-I; Small Grey Toolbox, Top Drawer",
